timestamp,road_id,vehicle_count,avg_speed,congestion_level
2025-03-31 10:03:31,1,0,13.89,0
2025-03-31 10:03:31,10,0,13.89,0
2025-03-31 10:03:31,11,0,13.89,0
2025-03-31 10:03:31,12,0,13.89,0
2025-03-31 10:03:31,13,0,13.89,0
2025-03-31 10:03:31,14,0,13.89,0
2025-03-31 10:03:31,15,0,13.89,0
2025-03-31 10:03:31,16,0,13.89,0
2025-03-31 10:03:31,17,0,13.89,0
2025-03-31 10:03:31,18,0,13.89,0
2025-03-31 10:03:31,19,0,13.89,0
2025-03-31 10:03:31,2,1,0.0,0.07
2025-03-31 10:03:31,20,0,13.89,0
2025-03-31 10:03:31,21,0,13.89,0
2025-03-31 10:03:31,22,1,0.0,0.07
2025-03-31 10:03:31,23,0,13.89,0
2025-03-31 10:03:31,24,1,0.0,0.07
2025-03-31 10:03:31,25,0,13.89,0
2025-03-31 10:03:31,26,0,13.89,0
2025-03-31 10:03:31,27,1,0.0,0.07
2025-03-31 10:03:31,28,0,13.89,0
2025-03-31 10:03:31,29,0,13.89,0
2025-03-31 10:03:31,3,1,0.0,0.07
2025-03-31 10:03:31,30,1,0.0,0.07
2025-03-31 10:03:31,31,0,13.89,0
2025-03-31 10:03:31,32,0,13.89,0
2025-03-31 10:03:31,4,0,13.89,0
2025-03-31 10:03:31,5,0,13.89,0
2025-03-31 10:03:31,6,0,13.89,0
2025-03-31 10:03:31,7,1,0.0,0.07
2025-03-31 10:03:31,8,0,13.89,0
2025-03-31 10:03:31,9,1,0.0,0.07
2025-03-31 10:03:32,1,0,13.89,0
2025-03-31 10:03:32,10,0,13.89,0
2025-03-31 10:03:32,11,0,13.89,0
2025-03-31 10:03:32,12,0,13.89,0
2025-03-31 10:03:32,13,0,13.89,0
2025-03-31 10:03:32,14,0,13.89,0
2025-03-31 10:03:32,15,0,13.89,0
2025-03-31 10:03:32,16,0,13.89,0
2025-03-31 10:03:32,17,0,13.89,0
2025-03-31 10:03:32,18,0,13.89,0
2025-03-31 10:03:32,19,0,13.89,0
2025-03-31 10:03:32,2,1,2.3400352335069328,0.07
2025-03-31 10:03:32,20,0,13.89,0
2025-03-31 10:03:32,21,0,13.89,0
2025-03-31 10:03:32,22,1,2.02022429429926,0.07
2025-03-31 10:03:32,23,0,13.89,0
2025-03-31 10:03:32,24,1,2.119804144813679,0.07
2025-03-31 10:03:32,25,0,13.89,0
2025-03-31 10:03:32,26,0,13.89,0
2025-03-31 10:03:32,27,1,1.399670058488846,0.07
2025-03-31 10:03:32,28,0,13.89,0
2025-03-31 10:03:32,29,0,13.89,0
2025-03-31 10:03:32,3,1,2.0149781387066468,0.07
2025-03-31 10:03:32,30,1,1.9592106993775815,0.07
2025-03-31 10:03:32,31,0,13.89,0
2025-03-31 10:03:32,32,0,13.89,0
2025-03-31 10:03:32,4,0,13.89,0
2025-03-31 10:03:32,5,0,13.89,0
2025-03-31 10:03:32,6,0,13.89,0
2025-03-31 10:03:32,7,1,2.506885636271909,0.07
2025-03-31 10:03:32,8,0,13.89,0
2025-03-31 10:03:32,9,1,2.522357051051222,0.07
2025-03-31 10:03:33,1,0,13.89,0
2025-03-31 10:03:33,10,0,13.89,0
2025-03-31 10:03:33,11,0,13.89,0
2025-03-31 10:03:33,12,0,13.89,0
2025-03-31 10:03:33,13,0,13.89,0
2025-03-31 10:03:33,14,0,13.89,0
